XrplHash,XrplAmount,XrplTargetAddress,XrplMemo,XrplTimestamp,CoreumHash,CoreumAmount,ExpectedAmount,CoreumTargetAddress,CoreumMemo,CoreumTimestamp,BridgingTime,Discrepancy
4D74903E66183D440B988D9B4F9AE4178A61DF7FF0AF061FA457752B24B802D8,2340.000000,core1v27fg3jjk4m9v673mq8n6hpsfzhhnkkex68f76,core1v27fg3jjk4m9v673mq8n6hpsfzhhnkkex68f76:1007961752909,2023-05-19 15:51:11 +0000 UTC,,,,,,0001-01-01 00:00:00 +0000 UTC,0s,orphan xrpl tx
ABCDD363B7464287107BB66688EC0531E3A7B9C7E208789685C8A4E73DDFA79D,10.000000,core125stq4q8m554qj6f24e5w2cy8r054swz97uygc,core125stq4q8m554qj6f24e5w2cy8r054swz97uygc:1007961752909,2023-05-19 14:56:32 +0000 UTC,,,,,,0001-01-01 00:00:00 +0000 UTC,0s,orphan xrpl tx
71CCD55FABEC74169FF47481956024A00B3E16D29C7FF56023D16C19CDC32F74,1013.000000,core16w7tjgj2xj5cpqce4hprkkpamxs3pj6qsqdjc5,core16w7tjgj2xj5cpqce4hprkkpamxs3pj6qsqdjc5:1007961752909,2023-05-19 10:20:10 +0000 UTC,,,,,,0001-01-01 00:00:00 +0000 UTC,0s,orphan xrpl tx
E212D945E3B18803C649C2BB5F46EB60CEE1348131054B14E5997C3BC02B735C,242.156300,core1evg36pmmdle5hxna3xxll420l6u5a72eq44suq,core1evg36pmmdle5hxna3xxll420l6u5a72eq44suq:1007961752909,2023-05-19 08:25:31 +0000 UTC,,,,,,0001-01-01 00:00:00 +0000 UTC,0s,orphan xrpl tx
F6832449B84F6F53C0F84435E37BB5EFABFA5961380000FE4388BE2D18BF420C,27000.000000,core127uq9ued37fzv4kvvywmecclsnqh6s6xer98zf,core127uq9ued37fzv4kvvywmecclsnqh6s6xer98zf:1007961752909,2023-05-19 08:03:52 +0000 UTC,,,,,,0001-01-01 00:00:00 +0000 UTC,0s,orphan xrpl tx
9EFD269569B45B2F7B9D496F7E096266C3B01462230A3FCCDE25AA9638708459,5.000000,core1nhvcg07wss35l30q9s6xhzse5dj6gksjxhfw04,core1nhvcg07wss35l30q9s6xhzse5dj6gksjxhfw04:1007961752909,2023-05-19 07:04:31 +0000 UTC,,,,,,0001-01-01 00:00:00 +0000 UTC,0s,orphan xrpl tx
8006F3087E517660709E8E7FC02B49A22E7CB64AAE32C964E3D9B1575CBDF32C,10.000000,core18ml0p4cgk4hehwqmkxadtjz4yjamlkhy8d4v8u,core18ml0p4cgk4hehwqmkxadtjz4yjamlkhy8d4v8u:1007961752909,2023-05-19 06:00:51 +0000 UTC,,,,,,0001-01-01 00:00:00 +0000 UTC,0s,orphan xrpl tx
BDD885366FB3D0CE1EFB7A54DE5AC242F392946F6A2181CC2D6EE0144895E895,2291.505364,core103tvnrw7wc0uc9nf4dam73chhdf4hx6nscl6lz,core103tvnrw7wc0uc9nf4dam73chhdf4hx6nscl6lz:1007961752909,2023-05-19 05:25:10 +0000 UTC,,,,,,0001-01-01 00:00:00 +0000 UTC,0s,orphan xrpl tx
BCFB7F22E6F9B4CAAF8CBE1FBE2F05687CCB9E717BC1E3C1A9583209C5BEAD54,204.708550,core1xtdms250hk5p3rksjf6yqs9vmqwm7qv82v6w70,core1xtdms250hk5p3rksjf6yqs9vmqwm7qv82v6w70:1007961752909,2023-05-19 04:20:40 +0000 UTC,,,,,,0001-01-01 00:00:00 +0000 UTC,0s,orphan xrpl tx
4335924199157DCD8DBECBB246046590536B1EB644289A85CD402E41A24B35B1,134.199062,core13tphl9xqlaazyvpc8vudgmvtwrrfmn072596ky,core13tphl9xqlaazyvpc8vudgmvtwrrfmn072596ky:1007961752909,2023-05-19 03:07:52 +0000 UTC,,,,,,0001-01-01 00:00:00 +0000 UTC,0s,orphan xrpl tx
87FAC12E74032946E5503839E3671CA08FE9E05CD460F7904FC03084A85E9225,60.000000,core1lh00c9fn7nauccz8uyxw6l4vc2ucsnaz356yhu,core1lh00c9fn7nauccz8uyxw6l4vc2ucsnaz356yhu:1007961752909,2023-05-19 00:43:01 +0000 UTC,,,,,,0001-01-01 00:00:00 +0000 UTC,0s,orphan xrpl tx
BC8262BDD8441467E6C8A8B53E9298E71185D1A403F43CA2D92D5E52D0209F2A,141.744708,core1p27qk09x7vag6523rvxymhdnyul6wc6ahxrm6p,core1p27qk09x7vag6523rvxymhdnyul6wc6ahxrm6p:1007961752909,2023-05-16 14:36:42 +0000 UTC,,,,,,0001-01-01 00:00:00 +0000 UTC,0s,orphan xrpl tx
,,,,0001-01-01 00:00:00 +0000 UTC,24839489A8B901BE2CB02AB9AF4F27CE526FB3F8D21F603E2D493D588ADAE503,1.000000,,core1gyf26fwqu3pru0dq6ewgkmn6dmy4x254k662a2,,2023-03-20 09:24:58 +0000 UTC,0s,invalid memo on coreum
