Hash,FromAddress,ToAddress,Amount,Memo,Timestamp
BC3B5A6EA21C3D71B0D9ECCCC62EA7A2E8B6B85CC930C8FAD170B6E4DEEBC6FD,rBvSxVV5fMpbaYku6kQnWxYGgnqPE17P82,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,5.000000,core1d6g3vm55ap4g06sufe8u2dqarj6phnghrmj8v6:1007961752909,2023-05-25 02:24:01 +0000 UTC
14638C4C7CBA7A1546D4FC8BBA5062EEF5B641D0E7902D39B08C152A61003E0E,rBvSxVV5fMpbaYku6kQnWxYGgnqPE17P82,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,5.000000,core15j95w2xze6y4z2mr3pc0ys9al25d302r6gzczm:1007961752909,2023-05-25 02:05:12 +0000 UTC
4A39BE72318A20A2C7DF771ACB70F6B329B6E6FAF146944856F0007E29DAD276,rBvSxVV5fMpbaYku6kQnWxYGgnqPE17P82,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,8.000000,core1d6g3vm55ap4g06sufe8u2dqarj6phnghrmj8v6:1007961752909,2023-05-25 01:40:40 +0000 UTC
7878618C0E107C0EA18FAA37CE13DBCBAC275B01F100CB9215C195EB5C9DCF65,rGseMBujXYYn88aK3HvXSsjtGnUPDxVenY,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,2503.500000,core1fm9w57hcq5984d07ku9ewfwaxt89w64uh5cqu8:1007961752909,2023-05-24 23:51:42 +0000 UTC
4C59744C8072D796F5B59728D27E9B51381EFB7923DFFFE04A5D663AFE0E2AB6,rs18UqVXX2DLuZsiUYd3MMHppBX7iipftP,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,186.888926,core1t45ccldw77euykz494utzmzk2nq6e8t47azeln:1007961752909,2023-05-24 20:11:50 +0000 UTC
931F99B2651E880F2E3EC3AFAD60B472415BE779633C55441539E9F569E6FBE5,raLyS1T5q4AxaZJ9EEbvJf1aB26rwVvTEi,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,10.000000,core1w4yk672zsf360q8at4fjahacauxj35djt5skhw:1007961752909,2023-05-24 18:58:32 +0000 UTC
3DBB6D79B4BE2BC65D3D48238FC8946F71C45CC11B46CF65B23F69B205626574,rpV8FTV7RA61zePm3J2GdyyYggVRR89qFP,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,927.528490,core1g64nvcqznt3ccq282memj5yruk02aeeex48s4t:1007961752909,2023-05-24 17:33:41 +0000 UTC
6206C5CC0CF36F41084798869C076DFC1C88BE61727CD2816E60A1654ED3E07D,r46TCaEogsV24veLBnWT98N88FBJXdVM6u,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,735.000000,core1nl8tj9n4rl2r62hpel6wf3tcrp89e6pqrp3pmh:1007961752909,2023-05-24 16:28:00 +0000 UTC
D4A07C65E59A2A847300E18E3F00B8E8F2DC04672B1186A03E81083D5B01DFEA,r4dBnRGHJdSh54gGhb5pu9z8hk4VtpYxur,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,10.000000,core1emdkcuznuh2hrar22w4wmdv5j53lqpt883agft:1007961752909,2023-05-24 14:57:00 +0000 UTC
E73860FDED7BFD92F2AAF54884B4E3246CC3735BCF96B5F4DAE5DD9554CBBA5C,r4dBnRGHJdSh54gGhb5pu9z8hk4VtpYxur,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D,2000.000000,core163xhdn0u3ne736avtnen5gqv54kk4qhansjyc7:1007961752909,2023-05-24 14:36:50 +0000 UTC
